Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2010","2010","t","58026","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2010","2010","1000 USD","21151","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2010","2010","t","31","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2010","2010","1000 USD","55","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2011","2011","t","60584","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2011","2011","1000 USD","20438","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2011","2011","t","135712","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2011","2011","1000 USD","43154","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2012","2012","t","60484","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2012","2012","1000 USD","23621","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2012","2012","t","133922","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2012","2012","1000 USD","45127","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2013","2013","t","83382","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2013","2013","1000 USD","25861","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2013","2013","t","280963","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2013","2013","1000 USD","100721","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2014","2014","t","36058.21","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2014","2014","1000 USD","18907","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2014","2014","t","263496.89","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2014","2014","1000 USD","96509","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2015","2015","t","48914.17","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2015","2015","1000 USD","22331","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2015","2015","t","219422.31","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2015","2015","1000 USD","49695","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2016","2016","t","88349.23","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2016","2016","1000 USD","24830","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2016","2016","t","190910.79","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2016","2016","1000 USD","52490","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2017","2017","t","81285.41","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2017","2017","1000 USD","24747","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2017","2017","t","100172.24","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2017","2017","1000 USD","30547","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2018","2018","t","64948.91","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5622","Import Value","0113","Rice","2018","2018","1000 USD","15155","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5910","Export Quantity","0113","Rice","2018","2018","t","717272.57","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5922","Export Value","0113","Rice","2018","2018","1000 USD","192684","A","Official figure",""
"TCL","Crops and livestock products","076","Brazil","5610","Import Quantity","0113","Rice","2019","2019","t","91431.46","A","Official figure",""
