Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","t","351036.72","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","t","349219.95","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","t","346087.2","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","t","338311.71","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","t","323252.76","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","t","294682.45","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","t","273569.51","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","258757.94","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","244820.82","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2000","2000","t","67785.65","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2001","2001","t","67740.08","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2002","2002","t","70301.18","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2003","2003","t","71045.05","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2004","2004","t","73954.98","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2005","2005","t","77594.52","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2006","2006","t","81267.99","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2007","2007","t","85666.65","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2008","2008","t","88150.14","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2009","2009","t","89742.84","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2010","2010","t","92381.94","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2011","2011","t","93909.18","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2012","2012","t","94968.92","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2013","2013","t","95280.33","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2014","2014","t","94443.49","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2015","2015","t","93481.45","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2016","2016","t","91181.62","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2017","2017","t","87190.95","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2018","2018","t","79501.15","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2019","2019","t","73812.45","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2020","2020","t","69823.95","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1309","Insecticides","2021","2021","t","66077.19","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2000","2000","t","65535.03","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2001","2001","t","64719.01","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2002","2002","t","67281.88","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2003","2003","t","67774.07","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2004","2004","t","70762.9","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2005","2005","t","74329.62","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2006","2006","t","77871.5","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2007","2007","t","82428.7","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2008","2008","t","85062.11","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2009","2009","t","86606.84","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2010","2010","t","88806.26","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2011","2011","t","90328.51","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2012","2012","t","91999.42","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2013","2013","t","92106.84","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2014","2014","t","91815.86","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2015","2015","t","90840.85","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2016","2016","t","88403.98","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2017","2017","t","84654.71","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2018","2018","t","77171.85","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2019","2019","t","71637.58","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2020","2020","t","67759.57","E","Estimated value",""
"RP","Pesticides Use","159","China","5157","Agricultural Use","1331","Fungicides and Bactericides","2021","2021","t","64107.25","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","t","142709.22","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","t","146060.61","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","t","154432.41","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","t","164929.32","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","t","173325.51","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","t","178526.94","E","Estimated value",""
"RP","Pesticides Use","360","Indonesia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","t","185738.21","E","Estimated value",""
