Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2019","2019","t","101126409","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2020","2020","ha","18258981","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2020","2020","100 g/ha","56953","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2020","2020","t","103990935","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0112","Maize (corn)","2021","2021","ha","18984300","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0112","Maize (corn)","2021","2021","100 g/ha","46497","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0112","Maize (corn)","2021","2021","t","88272116","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2000","2000","ha","3664804","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2000","2000","100 g/ha","30382","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2000","2000","t","11134588","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2001","2001","ha","3142826","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2001","2001","100 g/ha","32405","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2001","2001","t","10184185","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2002","2002","ha","3142051","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2002","2002","100 g/ha","33246","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2002","2002","t","10445986","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2003","2003","ha","3180859","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2003","2003","100 g/ha","32490","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2003","2003","t","10334603","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2004","2004","ha","3733148","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2004","2004","100 g/ha","35565","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2004","2004","t","13277008","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2005","2005","ha","3915855","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2005","2005","100 g/ha","33691","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2005","2005","t","13192863","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2006","2006","ha","2970918","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2006","2006","100 g/ha","38798","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2006","2006","t","11526685","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2007","2007","ha","2890926","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2007","2007","100 g/ha","38260","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2007","2007","t","11060741","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2008","2008","ha","2850678","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2008","2008","100 g/ha","42311","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2008","2008","t","12061465","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2009","2009","ha","2872036","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2009","2009","100 g/ha","44049","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2009","2009","t","12651144","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2010","2010","ha","2722459","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2010","2010","100 g/ha","41271","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2010","2010","t","11235986","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2011","2011","ha","2752891","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2011","2011","100 g/ha","48956","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2011","2011","t","13476994","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2012","2012","ha","2413288","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2012","2012","100 g/ha","47860","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2012","2012","t","11549881","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2013","2013","ha","2353152","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2013","2013","100 g/ha","50071","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2013","2013","t","11782549","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2014","2014","ha","2340878","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2014","2014","100 g/ha","52013","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2014","2014","t","12175602","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2015","2015","ha","2138397","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2015","2015","100 g/ha","57525","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2015","2015","t","12301201","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2016","2016","ha","1943938","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2016","2016","100 g/ha","54643","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2016","2016","t","10622189","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2017","2017","ha","2006202","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2017","2017","100 g/ha","62131","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2017","2017","t","12464766","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2018","2018","ha","1872155","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2018","2018","100 g/ha","63074","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2018","2018","t","11808412","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2019","2019","ha","1710063","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2019","2019","100 g/ha","60633","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2019","2019","t","10368639","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2020","2020","ha","1677705","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5419","Yield","0113","Rice","2020","2020","100 g/ha","66108","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","0113","Rice","2020","2020","t","11091011","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","0113","Rice","2021","2021","ha","1689190","A","Official figure",""
